Looked_At_Counts
9
9
9
8
8
9
9
9
9
9
9
9
9
9
9
8
9
9
9
9
9
9
8
7
9
9
9
8
9
8
9
9
9
9
0
5
8
9
5
6
8
9
9
8
8
