Looked_At_Counts
0
6
2
9
9
8
9
9
7
7
8
0
8
2
1
9
1
9
9
9
9
9
8
1
1
8
9
9
9
7
4
9
9
6
6
9
3
1
9
9
6
4
9
9
9
