Looked_At_Counts
1
9
7
0
1
6
9
9
7
0
5
4
9
9
6
5
1
8
9
1
5
6
1
6
9
8
9
9
0
2
1
1
9
9
9
6
7
9
1
1
8
0
8
1
1
