,order,f_category,diff_category,imp_category,RT,WC,B,participant,CB
0,1,0.33910533910533913,3.0,10.0,3.341508680000061,0.14285714285714285,0.8571428571428571,1,0.8571428571428571
1,1,0.32999088422971745,0.0,10.0,2.476755619999949,0.125,0.875,1,0.875
2,1,0.3509433962264151,8.0,7.0,5.350310280000031,0.07142857142857142,0.9285714285714286,1,0.9285714285714286
3,1,0.3015753938484621,5.0,8.0,8.744842959999914,0.057692307692307696,0.9423076923076923,1,0.9423076923076923
4,1,0.2996816734879491,8.0,4.0,6.402599630000168,0.03571428571428571,0.9642857142857143,1,0.9642857142857143
5,1,0.36162127929069027,2.0,3.0,4.5205928099999255,0.029411764705882353,0.9705882352941176,1,0.9705882352941176
6,1,0.3977358490566038,6.0,10.0,7.712723229999938,0.08333333333333333,0.9166666666666666,1,0.9166666666666666
7,1,0.25093109869646185,1.0,6.0,3.261212440000236,0.0,1.0,1,1.0
8,1,0.30584192439862545,-0.0,9.0,2.40434845999971,0.0,1.0,1,1.0
9,1,0.2777777777777778,3.0,7.0,4.927499999999782,0.037037037037037035,0.9629629629629629,1,0.9629629629629629
10,1,0.3531122745782432,4.0,6.0,4.6493342399999165,0.0,1.0,1,1.0
11,1,0.32962138084632514,5.0,3.0,4.759863060000498,0.03225806451612903,0.967741935483871,1,0.967741935483871
12,1,0.38533834586466165,0.0,10.0,4.688111290000052,0.08,0.92,1,0.92
13,1,0.4707207207207207,4.0,7.0,5.665956679998999,0.14285714285714285,0.8571428571428571,1,0.8571428571428571
14,1,0.34219495569188824,3.0,8.0,4.450676229999772,0.06896551724137931,0.9310344827586207,1,0.9310344827586207
15,1,0.3128238341968912,3.0,1.0,3.9186023899997053,0.0,1.0,1,1.0
16,1,0.20531964535697622,0.0,9.0,3.588132869999299,0.05263157894736842,0.9473684210526315,1,0.9473684210526315
17,1,0.35229759299781177,9.0,2.0,6.338280479999867,0.07407407407407407,0.9259259259259259,1,0.9259259259259259
18,1,0.34124890061565527,4.0,2.0,3.6513786299997264,0.058823529411764705,0.9411764705882353,1,0.9411764705882353
19,1,0.19273301737756715,3.0,2.0,3.686695249999957,0.23529411764705882,0.7647058823529411,1,0.7647058823529411
20,1,0.34201773835920174,2.0,5.0,3.5478339000001142,0.4,0.6,1,0.6
21,1,0.22634939059779455,0.0,10.0,3.0250126699997963,0.07692307692307693,0.9230769230769231,1,0.9230769230769231
22,1,0.2786166585484656,2.0,7.0,4.733943299999737,0.05,0.95,1,0.95
23,1,0.2971768202080238,2.0,9.0,3.0898296899999877,0.05263157894736842,0.9473684210526315,1,0.9473684210526315
24,1,0.49077490774907745,5.0,9.0,7.424191689999134,0.15384615384615385,0.8461538461538461,1,0.8461538461538461
25,1,0.282717738258094,1.0,10.0,3.820625800000016,0.05263157894736842,0.9473684210526315,1,0.9473684210526315
26,1,0.2714690154136521,2.0,10.0,5.183266689999073,0.03125,0.96875,1,0.96875
27,1,0.29339019189765464,7.0,8.0,5.434879120000005,0.05555555555555555,0.9444444444444444,1,0.9444444444444444
28,1,0.31066056245912366,-0.0,5.0,3.855227930000183,0.09090909090909091,0.9090909090909091,1,0.9090909090909091
29,1,0.33594717292612464,-0.0,10.0,6.019085960000666,0.1111111111111111,0.8888888888888888,1,0.8888888888888888
30,1,0.3540802213001383,7.0,4.0,4.126578569999765,0.08695652173913043,0.9130434782608695,1,0.9130434782608695
31,1,0.276844070961718,6.0,8.0,4.387489359999563,0.034482758620689655,0.9655172413793104,1,0.9655172413793104
32,1,0.327831531018782,6.0,3.0,5.086715370001002,0.05,0.95,1,0.95
33,1,0.25799898425596746,0.0,9.0,4.345159899999089,0.1,0.9,1,0.9
34,1,0.24125058329444704,6.0,5.0,5.064237950000461,0.08695652173913043,0.9130434782608695,1,0.9130434782608695
35,1,0.35394214407260355,4.0,10.0,4.656486350000705,0.045454545454545456,0.9545454545454546,1,0.9545454545454546
36,1,0.3254985754985755,3.0,10.0,3.2142228199991223,0.125,0.875,1,0.875
37,1,0.47430626927029795,2.0,5.0,5.13423561000036,0.2857142857142857,0.7142857142857143,1,0.7142857142857143
38,1,0.4872262773722627,6.0,10.0,8.5361278700002,0.11538461538461539,0.8846153846153846,1,0.8846153846153846
39,1,0.1903566047212456,0.0,2.0,3.8929845000011483,0.02857142857142857,0.9714285714285714,1,0.9714285714285714
40,1,0.4211000901713255,2.0,7.0,4.228036479999901,0.0,1.0,1,1.0
41,1,0.35077288941736035,0.0,10.0,3.6354368400006933,0.21428571428571427,0.7857142857142857,1,0.7857142857142857
42,1,0.3762306610407876,6.0,10.0,2.7029800699992848,0.0,1.0,1,1.0
43,1,0.32773109243697474,0.0,10.0,2.57059333000052,0.15789473684210525,0.8421052631578947,1,0.8421052631578947
44,1,0.44631765749778174,0.0,8.0,3.49185966999994,0.16666666666666666,0.8333333333333334,1,0.8333333333333334
47,1,0.4150943396226415,5.0,7.0,7.059340380001231,0.0,1.0,2,1.0
48,1,0.22615476904619078,0.0,4.0,14.299285359998976,0.04081632653061224,0.9591836734693877,2,0.9591836734693877
