Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffC_response,slider_diffC_rt,slider_diffA_response,slider_diffA_rt,slider_diffB_response,slider_diffB_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffB_started,question_diffB_stopped,question_diffC_started,question_diffC_stopped,question_diffA_started,question_diffA_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,35.58136939999531,None,1,[4.323635399996419],[4.32363900000928],35.58136939999531,None,80.84845340000174,None,81.85291339999822,None,87.85263269999996,None,"[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]",91.86640469999111,9.331586260072072,25.28116746006708,13.998372960064444,"[0.31574074074074077, -0.3388888888888889, -0.2175925925925926]","[-0.2175925925925926, 0.09351851851851851, -0.3453703703703704]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[9.316526900001918, 13.982624099997338, 25.265824100002646]",0.014648060066974722,25.28039716006606,['A1'],['B1'],['C3'],['yellow'],['salmon'],['blue'],117.60156809999899,None,8.0,6.863754600009997,117.60156809999899,None,125.8180061000021,None,10.0,9.130746599999839,135.2512715000048,None,3.0,8.114951700001257,141.83464639999147,None,7.0,4.648028299998259,<function functionImportanceAt at 0x00000107DBEA1E18>,<function functionImportanceBt at 0x00000107EB4AAD08>,<function functionImportanceCt at 0x00000107EB4AAE18>,158.36759979999624,None,3.0,7.631181999997352,0.0,9.130746599999839,7.0,6.630295799986925,<function functiondiffCt at 0x00000107EC1D1C80>,<function functiondiffAt at 0x00000107EC1D10D0>,<function functiondiffBt at 0x00000107EC1D1D08>,,,,,,,,,,,,007,001,2022_Jun_14_1248,2leo,2021.2.3,60.00826913608638,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,164.08384189999197,None,165.08384239999577,None,171.08366679999745,None,"[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]",177.1964283999987,28.510902620124398,17.59462772012921,14.578551920130849,"[-0.34444444444444444, 0.2916666666666667, 0.1111111111111111, 0.0962962962962963, 0.33425925925925926]","[-0.08518518518518518, 0.25833333333333336, -0.3638888888888889, -0.36666666666666664, -0.030555555555555555]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[14.570326300003217, 17.58668979999493, 21.586613200008287, 24.219802000006894, 28.503243800005293]",0.0071507201209897175,28.510144020125153,['A2'],['B2'],['C3'],['blue'],['yellow'],['salmon'],206.16602889999922,None,6.0,6.530796899998677,206.16602889999922,None,222.84922849999566,None,1.0,6.019806099997368,214.44938489999913,None,7.0,8.164361899995129,228.4172022999992,None,9.0,5.317040499998257,<function functionImportanceBt at 0x00000107EB4AABF8>,<function functionImportanceAt at 0x00000107D8D331E0>,<function functionImportanceCt at 0x00000107EB4AAA60>,247.39849929999036,None,1.0,4.014794600007008,4.0,6.019806099997368,3.0,8.597734199996921,<function functiondiffBt at 0x00000107EC1D1D90>,<function functiondiffAt at 0x00000107EC1D1730>,<function functiondiffCt at 0x00000107EC1D1510>,,,,,,,,,,,,007,001,2022_Jun_14_1248,2leo,2021.2.3,60.00826913608638,
3,40,Plan to see a sports event ,Stimuli/40A1.jpg,Stimuli/40A2.jpg,Stimuli/40A3.jpg,Stimuli/40B1.jpg,Stimuli/40B2.jpg,Stimuli/40B3.jpg,Stimuli/40C1.jpg,Stimuli/40C2.jpg,Stimuli/40C3.jpg,,,,,0,0,0,40,,,,,,,,311.0083042000042,None,311.9968951000046,None,317.99664149999444,None,"[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]",,7.9566478799970355,21.806904879995272,25.974930279990076,"[-0.1787037037037037, 0.12962962962962962, 0.27037037037037037]","[0.30462962962962964, 0.45925925925925926, 0.17962962962962964]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.942595000000438, 21.792460500000743, 25.96016669999517]",0.013562879990786314,25.97232357999019,['A1'],['B3'],['C3'],['yellow'],['blue'],['salmon'],345.8123108,None,8.0,5.360081400009221,345.8123108,None,364.29647390000173,None,7.0,4.614260400005151,361.0621203000046,None,10.0,3.315332300000591,351.26233749999665,None,7.0,9.630824500010931,<function functionImportanceC at 0x000001078418BC80>,<function functionImportanceB at 0x000001078418B158>,<function functionImportanceA at 0x00000107EC1D1F28>,,,0.0,4.614260400005151,3.0,4.048564700002316,3.0,7.914887399994768,<function functiondiffB at 0x00000107EC1D1620>,<function functiondiffC at 0x00000107EC1D1598>,<function functiondiffA at 0x00000107EC1D1AE8>,250.51487269999052,None,250.51487269999052,None,319.354849299998,368.84508139999525,None,376.7450225999928,None,383.01163700000325,None,007,001,2022_Jun_14_1248,2leo,2021.2.3,60.00826913608638,
3,3,Plan a movie night with a friend,Stimuli/3A1.jpg,Stimuli/3A2.jpg,Stimuli/3A3.jpg,Stimuli/3B1.jpg,Stimuli/3B2.jpg,Stimuli/3B3.jpg,Stimuli/3C1.jpg,Stimuli/3C2.jpg,Stimuli/3C3.jpg,,,,,0,1,1,3,,,,,,,,386.5779792999965,None,387.57818789999874,None,393.5782435000001,None,"[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]",,18.34436700005608,4.444865400058916,9.411672300062492,"[0.2740740740740741, -0.15092592592592594, 0.31296296296296294]","[0.21481481481481482, -0.32407407407407407, -0.20555555555555555]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.441459499998018, 9.408211700007087, 18.34139289999439]",0.002536500061978586,18.34359900005802,['A1'],['B3'],['C1'],['salmon'],['blue'],['yellow'],416.01060389999475,None,9.0,5.262549400009448,416.01060389999475,None,421.34386949999316,None,1.0,6.413886700000148,435.19359349999286,None,10.0,5.631691600006889,429.52907229999255,None,3.0,6.6649027000094065,<function functionImportanceA at 0x00000107E0AE2E18>,<function functionImportanceC at 0x000001078418BAE8>,<function functionImportanceB at 0x00000107EC1D1E18>,,,6.0,6.413886700000148,8.0,3.997771100010141,1.0,5.197030299998005,<function functiondiffB at 0x000001078418B1E0>,<function functiondiffC at 0x000001078418B730>,<function functiondiffA at 0x000001078418B048>,,,,,397.20421050000004,440.47677439999825,None,445.6763454000029,None,451.84316509999917,None,007,001,2022_Jun_14_1248,2leo,2021.2.3,60.00826913608638,
3,26,Plan how to wash one round of your laundry ,Stimuli/26A1.jpg,Stimuli/26A2.jpg,Stimuli/26A3.jpg,Stimuli/26B1.jpg,Stimuli/26B2.jpg,Stimuli/26B3.jpg,Stimuli/26C1.jpg,Stimuli/26C2.jpg,Stimuli/26C3.jpg,,,,,0,2,2,26,,,,,,,,455.3594918000017,None,456.35958770000434,None,462.359580999997,None,"[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]",,7.790906300011557,18.07392150000669,18.841065700005856,"[0.03333333333333333, -0.22407407407407406, -0.3351851851851852]","[0.39166666666666666, 0.3638888888888889, 0.17037037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.785817800002405, 18.06861069999286, 18.835559600003762]",0.004535700005362742,18.839824800001225,['A2'],['B1'],['C1'],['yellow'],['salmon'],['blue'],482.8421510999906,None,2.0,3.9801145999954315,482.8421510999906,None,486.87554510000336,None,0.0,5.9311202000099,496.64189169999736,None,9.0,6.21498019999126,492.8754248999903,None,8.0,3.748252899997169,<function functionImportanceA at 0x000001078418BF28>,<function functionImportanceC at 0x00000107EC1D1840>,<function functionImportanceB at 0x000001078418B840>,,,1.0,5.9311202000099,0.0,5.647605999998632,9.0,8.26456870000402,<function functiondiffA at 0x00000107E91CD9D8>,<function functiondiffB at 0x000001078418B268>,<function functiondiffC at 0x000001078418B9D8>,,,,,463.52190160000464,508.4748660999903,None,516.7578801999916,None,502.80858589999843,None,007,001,2022_Jun_14_1248,2leo,2021.2.3,60.00826913608638,
3,21,Plan your sandwich for lunch,Stimuli/21A1.jpg,Stimuli/21A2.jpg,Stimuli/21A3.jpg,Stimuli/21B1.jpg,Stimuli/21B2.jpg,Stimuli/21B3.jpg,Stimuli/21C1.jpg,Stimuli/21C2.jpg,Stimuli/21C3.jpg,,,,,0,3,3,21,,,,,,,,522.0745713999931,None,523.0746081999969,None,529.0744028999907,None,"[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]","[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]","[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]",,4.889444080006797,17.03942638001172,16.27263268000388,"[0.32407407407407407, 0.40185185185185185, -0.31851851851851853]","[-0.21388888888888888, -0.000925925925925926, 0.13055555555555556]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.885486300001503, 16.268278100003954, 17.035153000004357]",0.003434380007092841,17.03833758001565,['A2'],['B3'],['C1'],['yellow'],['blue'],['salmon'],547.7071064999909,None,6.0,2.9470027000061236,547.7071064999909,None,565.5235985000036,None,10.0,1.7815236000024015,558.2402744999999,None,8.0,7.2481165999925,550.7237496000016,None,7.0,7.514296100009233,<function functionImportanceC at 0x000001078418B950>,<function functionImportanceB at 0x00000107E8778F28>,<function functionImportanceA at 0x00000107EC1D1488>,,,6.0,1.7815236000024015,-0.0,3.06457170000067,2.0,4.514661099994555,<function functiondiffC at 0x0000010780083730>,<function functiondiffB at 0x000001078418B0D0>,<function functiondiffA at 0x000001078418BB70>,,,,,530.1875290000025,571.3067370999925,None,567.273486399994,None,575.823283699996,None,007,001,2022_Jun_14_1248,2leo,2021.2.3,60.00826913608638,
3,7,Plan your Sunday breakfast ,Stimuli/7A1.jpg,Stimuli/7A2.jpg,Stimuli/7A3.jpg,Stimuli/7B1.jpg,Stimuli/7B2.jpg,Stimuli/7B3.jpg,Stimuli/7C1.jpg,Stimuli/7C2.jpg,Stimuli/7C3.jpg,,,,,0,4,4,7,,,,,,,,578.423166099994,None,579.4229206000018,None,585.4229727999918,None,"[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]","[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]","[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]",,6.896048920127214,15.563055820122827,19.263053320115432,"[-0.3435185185185185, -0.1675925925925926, -0.3537037037037037]","[0.09259259259259259, 0.3212962962962963, -0.06111111111111111]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.887987299996894, 15.554749299990362, 19.25446659998852]",0.007472420125850476,19.261858620127896,['A3'],['B3'],['C3'],['salmon'],['blue'],['yellow'],611.1719984999945,None,4.0,6.830562400005874,611.1719984999945,None,619.8383437000011,None,10.0,8.981197899993276,628.9384381999989,None,8.0,5.998308200010797,634.3049202999973,None,4.0,4.9152587999997195,<function functionImportanceA at 0x00000107EB368EA0>,<function functionImportanceB at 0x00000107800831E0>,<function functionImportanceC at 0x0000010780083158>,,,9.0,8.981197899993276,4.0,5.347482500001206,5.0,4.364304200003971,<function functiondiffA at 0x000001078418BEA0>,<function functiondiffC at 0x00000107800830D0>,<function functiondiffB at 0x000001078418BD90>,,,,,591.453465300001,647.2048122999986,None,643.7211132999946,None,638.5047194999934,None,007,001,2022_Jun_14_1248,2leo,2021.2.3,60.00826913608638,
3,17,Plan a day in Barcelona with a friend who is new to the city,Stimuli/17A1.jpg,Stimuli/17A2.jpg,Stimuli/17A3.jpg,Stimuli/17B1.jpg,Stimuli/17B2.jpg,Stimuli/17B3.jpg,Stimuli/17C1.jpg,Stimuli/17C2.jpg,Stimuli/17C3.jpg,,,,,0,5,5,17,,,,,,,,650.404699199993,None,651.4044389999908,None,657.4046035999927,None,"[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]",,13.107449980001547,3.5574789800011786,10.424569380003959,"[0.4074074074074074, 0.1111111111111111, 0.13148148148148148]","[-0.005555555555555556, 0.41944444444444445, -0.3814814814814815]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[3.5521265999996103, 10.418970300001092, 13.1022718000022]",0.0045860800018999726,13.106402280012844,['A3'],['B2'],['C2'],['blue'],['yellow'],['salmon'],672.1871509000048,None,9.0,3.8303266000002623,672.1871509000048,None,680.887051800004,None,7.0,4.298112100004801,676.1372953999962,None,10.0,4.69807949999813,685.1536752999964,None,2.0,4.048430700000608,<function functionImportanceB at 0x0000010780083048>,<function functionImportanceA at 0x00000107800839D8>,<function functionImportanceC at 0x0000010780083378>,,,6.0,4.298112100004801,8.0,4.514796999996179,0.0,3.1476208999956725,<function functiondiffB at 0x000001078418BBF8>,<function functiondiffC at 0x000001078418BD08>,<function functiondiffA at 0x000001078418B8C8>,,,,,658.6008107999951,689.153519799991,None,692.3036539000022,None,696.4864422999963,None,007,001,2022_Jun_14_1248,2leo,2021.2.3,60.00826913608638,
3,5,Plan a birthday party for your younger self when you turn eight,Stimuli/5A1.jpg,Stimuli/5A2.jpg,Stimuli/5A3.jpg,Stimuli/5B1.jpg,Stimuli/5B2.jpg,Stimuli/5B3.jpg,Stimuli/5C1.jpg,Stimuli/5C2.jpg,Stimuli/5C3.jpg,,,,,0,6,6,5,,,,,,,,700.5199432999943,None,701.5197931000002,None,707.5198887000006,None,"[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]",,39.87027324009978,11.221406440105056,28.604267040092964,"[0.44074074074074077, -0.3907407407407407, -0.3509259259259259]","[-0.008333333333333333, 0.1675925925925926, -0.11481481481481481]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[11.209865199998603, 28.592604999998002, 39.859155900005135]",0.010667840091628022,39.86964584009547,['A1'],['B2'],['C1'],['salmon'],['yellow'],['blue'],753.6683446999959,None,1.0,4.146311799995601,753.6683446999959,None,772.2868968999974,None,7.0,8.331122699994012,759.3544743999955,None,0.0,7.01448120000714,765.5346989999962,None,2.0,4.815572499996051,<function functionImportanceB at 0x0000010780083AE8>,<function functionImportanceC at 0x0000010780083D90>,<function functionImportanceA at 0x00000107EC1D19D8>,,,7.0,8.331122699994012,9.0,3.1648362999985693,3.0,7.447304000001168,<function functiondiffB at 0x0000010780083510>,<function functiondiffC at 0x000001078418B488>,<function functiondiffA at 0x0000010780083840>,,,,,713.3474946999922,778.401269199996,None,785.6675047000026,None,790.0674153,None,007,001,2022_Jun_14_1248,2leo,2021.2.3,60.00826913608638,
3,31,Plan your order at a restaurant    ,Stimuli/31A1.jpg,Stimuli/31A2.jpg,Stimuli/31A3.jpg,Stimuli/31B1.jpg,Stimuli/31B2.jpg,Stimuli/31B3.jpg,Stimuli/31C1.jpg,Stimuli/31C2.jpg,Stimuli/31C3.jpg,,,,,0,7,7,31,,,,,,,,792.0008169999928,None,793.000795999993,None,799.0007248000038,None,"[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]",,3.791476420039544,14.641750920040067,15.441828820039518,"[-0.13518518518518519, 0.26851851851851855, 0.07592592592592592]","[0.33240740740740743, 0.27870370370370373, 0.33055555555555555]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[3.7784344000101555, 14.628367700002855, 15.428186100005405]",0.012615320039913058,15.440484820035635,['A1'],['B2'],['C2'],['yellow'],['salmon'],['blue'],817.5498452000029,None,8.0,4.096809199996642,817.5498452000029,None,829.5998301999934,None,10.0,4.098864300001878,821.766684000002,None,10.0,6.347628300005454,832.249771200004,None,7.0,2.9648784000019077,<function functionImportanceB at 0x00000107800837B8>,<function functionImportanceA at 0x00000107EB4AA9D8>,<function functionImportanceC at 0x0000010780083C80>,,,4.0,4.098864300001878,0.0,2.2313827000034507,4.0,5.380967299992335,<function functiondiffB at 0x0000010780083950>,<function functiondiffC at 0x0000010780083A60>,<function functiondiffA at 0x0000010780083488>,,,,,801.6566002000036,835.1497780999925,None,840.5494408999948,None,846.1327709000034,None,007,001,2022_Jun_14_1248,2leo,2021.2.3,60.00826913608638,
